alpha_0,sigma_0,rho_0,eta_0,mu_0,lambda_0,phi_L_0,phi_H_0,alpha,sigma,rho,eta,mu,lambda,phi_L,phi_H,fit_rr,fit_wbr,fit_lbr,fit_sp,obj_val,tol
0.22,-0.5,0.5,0.1,0.25,0.25,2.0,2.0,0.29176595866646216,-0.660474175812336,0.6490534109601458,0.1,0.43530491096623003,0.13887400246417853,0.9068641925946139,2.0,21.484086092453648,9.208152169539538,0.02820902923653117,128.51216636064328,-2.02983331335648,0.5
0.22,-0.5,0.5,0.1,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.1,0.5,0.1,0.25,0.25,2.0,2.0,0.28713728542362604,0.27609993781572273,0.5186171712884543,0.1,0.5330320178896328,0.13642406477249006,1.461047589162963,2.0,8.84490256497257,0.5136637779001592,0.007708096508446135,6.977885046735231,1.5533493625752832,0.5
0.22,0.1,0.5,0.1,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.5,0.5,0.1,0.25,0.25,2.0,2.0,0.28579536973446884,0.5985940002870879,0.6329872163878569,0.1,0.3628033172363881,0.13964183369312472,2.85197919754997,2.0,5.63257126136766,0.42537116787380785,0.004958262168521924,3.3785190109175893,-2.8818543906379532,0.5
0.22,0.5,0.5,0.1,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,-0.5,-0.5,0.3,0.25,0.25,2.0,2.0,0.2849052388629413,-0.6039571851093183,-0.6401359869084919,0.3,0.20347846911966896,0.25501704639338074,2.223952802163489,2.0,180.1328540666655,1225.191576273474,0.19683061597371534,13803.668469638938,7.86858877761007,0.5
0.22,-0.5,-0.5,0.3,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
0.22,0.1,-0.5,0.3,0.25,0.25,2.0,2.0,0.28686278355841066,0.262477262071329,-0.36446802101284126,0.3,0.5389830524467747,0.36045798674134943,1.0808943986349673,2.0,78.50436026500833,0.27736572689773614,0.08374411077309994,3.12950463965365,-0.4696967963228475,0.5
0.22,0.1,-0.5,0.3,0.25,0.25,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5
