BEA_CODE,YEAR,REL_P_EQ_DEVIATION
213,1994,1.1246870879369597
213,1995,1.1492487350715765
213,1996,1.1846543574135078
213,1997,1.226279270484196
213,1998,1.2771454719743387
213,1999,1.3240383259015864
213,2000,1.3568180709135842
213,2001,1.405303215775112
213,2002,1.4423836102789727
213,2003,1.4885775197790316
213,2004,1.5312667408191838
213,2005,1.5755930963027467
213,2006,1.6351301511818346
213,2007,1.6896810274718541
213,2008,1.7560452041391794
213,2009,1.7908778044152895
213,2010,1.8196462809704692
213,2011,1.8590484986921882
213,2012,1.8999703876428593
213,2013,1.9241725401858472
213,2014,1.9541943592792423
213,2015,1.9776329994757287
213,2016,1.9954802424024585
213,2017,2.014059887973287
213,2018,2.0429594889057903
213,2019,2.07694248641575
213,2020,2.0793206958477795
213,2021,2.0926555629408585
213,2022,2.147224599358531
213,2023,2.1881409292182408
213,2024,2.207809196092813
22,1947,0.7717654936191698
22,1948,0.7647338073256601
22,1949,0.7604513211844355
22,1950,0.7599502462043021
22,1951,0.7748270946377259
22,1952,0.7749162647373804
22,1953,0.7872066437543729
22,1954,0.7888984130175722
22,1955,0.7839725271873954
22,1956,0.8176961174402231
22,1957,0.8364730858608735
22,1958,0.8397322294611603
22,1959,0.841689307113686
22,1960,0.8385147249988483
22,1961,0.8229108732317623
22,1962,0.8094990552838768
22,1963,0.8004567965882491
22,1964,0.7959593517801608
22,1965,0.7929193165811913
22,1966,0.7949272975975645
22,1967,0.8086529676069594
22,1968,0.8180671528539111
22,1969,0.8152183000143132
22,1970,0.8214747959219806
22,1971,0.8395563128428799
22,1972,0.8412837838242735
22,1973,0.8413921879788521
22,1974,0.8361140288978463
22,1975,0.8622832639689024
22,1976,0.8842774279094892
22,1977,0.9019016205436364
22,1978,0.923550826181562
22,1979,0.9309268559844137
22,1980,0.9556382345082703
22,1981,0.9610412033510177
22,1982,0.9610481918715585
22,1983,0.9687408384265423
22,1984,0.973404232361844
22,1985,0.9847910453607018
22,1986,0.9880048826422672
22,1987,1.0
22,1988,1.01002346858214
22,1989,1.0259847244962543
22,1990,1.0437550379037992
22,1991,1.0519483698717385
22,1992,1.0593143624920722
22,1993,1.0650697302179455
22,1994,1.0730401370218194
22,1995,1.0936302268748113
22,1996,1.1180362727723048
22,1997,1.1408541858909202
22,1998,1.174104490031039
22,1999,1.2048777136525994
22,2000,1.2304430289439203
22,2001,1.2618820145574468
22,2002,1.280711539275007
22,2003,1.3142730544240429
22,2004,1.3402226891986866
22,2005,1.3683388664251988
22,2006,1.4249078657884813
22,2007,1.4862735165516645
22,2008,1.5585798358322043
22,2009,1.5856629018240957
22,2010,1.6248323971444047
22,2011,1.6559358510857127
22,2012,1.668232970468386
22,2013,1.679355278837935
22,2014,1.6948712318975303
22,2015,1.6976129747236939
22,2016,1.7057169509053922
22,2017,1.7187582501946366
22,2018,1.7332652058995508
22,2019,1.7530468696665744
22,2020,1.7713518841728433
22,2021,1.7945447872920666
22,2022,1.8505180998725046
22,2023,1.8530064302299443
22,2024,1.8642143848960726
23,1947,0.5311424748253543
23,1948,0.5525146606969622
23,1949,0.5608994724075039
23,1950,0.5589882913390971
23,1951,0.5659837021367263
23,1952,0.5712224564679023
23,1953,0.5735770490990829
23,1954,0.5759312167548795
23,1955,0.5865425374954761
23,1956,0.5910959456479647
23,1957,0.5948360581674252
23,1958,0.605526297565312
23,1959,0.6117896551951943
23,1960,0.6156191367156929
23,1961,0.6221546200274416
23,1962,0.6238287476886236
23,1963,0.6278549668334646
23,1964,0.6369134877316809
23,1965,0.6449934081307511
23,1966,0.6537831832055231
23,1967,0.6571347706967267
23,1968,0.6676899957642474
23,1969,0.6733928864383282
23,1970,0.6777385912058096
23,1971,0.6920278883142005
23,1972,0.7031797935242933
23,1973,0.7068665589248658
23,1974,0.7254968393361091
23,1975,0.7643654731646389
23,1976,0.7750859781649059
23,1977,0.8046583943059311
23,1978,0.8292513084427183
23,1979,0.8515793243544237
23,1980,0.8714660334058315
23,1981,0.8952615236210115
23,1982,0.9047819604786309
23,1983,0.9185574790480295
23,1984,0.9382369694579231
23,1985,0.955233250648445
23,1986,0.9761953344320041
23,1987,1.0
23,1988,1.0159273141544736
23,1989,1.0319275969256743
23,1990,1.0473130460079616
23,1991,1.0591064750311523
23,1992,1.073531877017755
23,1993,1.0917331013949125
23,1994,1.1076161366799075
23,1995,1.1301534604373644
23,1996,1.1597927655374327
23,1997,1.193646635706437
23,1998,1.2393610365910868
23,1999,1.2862376123383465
23,2000,1.3119326468645292
23,2001,1.340419393279104
23,2002,1.3646058707637099
23,2003,1.3983818330838282
23,2004,1.427973975393243
23,2005,1.4565168211097812
23,2006,1.486550389869079
23,2007,1.5048724248065994
23,2008,1.5321293689063016
23,2009,1.5754649766495767
23,2010,1.6027194731281782
23,2011,1.6311066813692687
23,2012,1.6745098837062413
23,2013,1.6988377431756552
23,2014,1.7249702772586128
23,2015,1.7543903043286324
23,2016,1.780575910078017
23,2017,1.7959151909013755
23,2018,1.8071916129160142
23,2019,1.8385258278507308
23,2020,1.8557589394146536
23,2021,1.8856099242161126
23,2022,1.9393946278562706
23,2023,1.9788061756406217
23,2024,1.9661119389845247
321,1947,0.6933336046215118
321,1948,0.6999902273512906
321,1949,0.7103326420739189
321,1950,0.7113723469294686
321,1951,0.7297356796698743
321,1952,0.7229851805409293
321,1953,0.728262219944727
321,1954,0.7323991894175457
321,1955,0.7554189437511032
321,1956,0.7629232096184307
321,1957,0.7766582537385678
321,1958,0.774640851255473
321,1959,0.7789635333805722
321,1960,0.7874917147526984
321,1961,0.7921809242400569
321,1962,0.7965969067193747
321,1963,0.8059566362543957
321,1964,0.8092219423207405
321,1965,0.812854842435516
321,1966,0.8069762535637527
321,1967,0.8106115058436586
321,1968,0.8110689465453098
321,1969,0.8154440110535531
321,1970,0.8196721471746987
321,1971,0.8263871761778497
321,1972,0.831875549078651
321,1973,0.8353374732892636
321,1974,0.8565556722292692
321,1975,0.8778983993362119
321,1976,0.8901119212912019
321,1977,0.9173402908549874
321,1978,0.9397486205914315
321,1979,0.9494806067333705
321,1980,0.9286054390959582
321,1981,0.9227222308351903
321,1982,0.9170377922882079
321,1983,0.9289751697313885
321,1984,0.9433307292810886
321,1985,0.9548850280251414
321,1986,0.9776648092230102
321,1987,1.0
321,1988,1.0166427788797325
321,1989,1.025375755590804
321,1990,1.04237070248376
321,1991,1.0572003455912544
321,1992,1.0713756424684369
