YEAR,BEA_CODE,SKILL_PREMIUM
2016,337,1.5379013924333773
2017,337,1.4631340018613477
2018,337,1.5205993253698769
2019,337,1.4664031397391961
2020,337,1.476320559120792
2021,337,2.012391977578433
1971,339,1.8060666107750005
1972,339,1.6821194345051196
1973,339,1.5849207198515607
1974,339,1.8862450042001877
1975,339,1.6158210200917345
1976,339,1.5549365934276984
1977,339,1.6579963792452912
1978,339,1.654792284865103
1979,339,1.5907229382306085
1980,339,1.7356226706158304
1981,339,1.6139807861447284
1982,339,1.6297103584498676
1983,339,1.500682768614574
1984,339,1.6997239737524392
1985,339,1.6143041503705728
1986,339,1.713587623351092
1987,339,1.8603391412132624
1988,339,1.5103642963445596
1989,339,1.682441423487503
1990,339,1.8180856095018896
1991,339,1.652717885226075
1992,339,1.826694525613762
1993,339,1.6792491045754692
1994,339,1.5633493353130188
1995,339,1.896648942244603
1996,339,2.351182783399635
1997,339,1.8623194000088712
1998,339,1.820604952443307
1999,339,1.8187936589739653
2000,339,1.853281303800826
2001,339,1.9029982055690489
2002,339,1.9076596049141556
2003,339,1.9442598648335307
2004,339,1.900525695127761
2005,339,1.9144398512160112
2006,339,1.943266142068513
2007,339,1.9657710434883775
2008,339,1.9449618060385307
2009,339,1.8909911552642042
2010,339,2.198773046713988
2011,339,1.917593916797984
2012,339,1.7928912824974674
2013,339,1.8266939189419646
2014,339,1.8238795523177025
2015,339,1.4912027218736505
2016,339,1.9470082665064865
2017,339,1.977871896436387
2018,339,1.9762652408908254
2019,339,1.967174565543382
2020,339,1.8889458983612541
2021,339,1.7607343877082422
2022,339,2.104703653576934
2023,339,1.824481622706647
2024,339,2.1509875456675136
2025,339,2.1625783087250676
1968,42,1.4143442724614548
1969,42,1.4105612824437208
1970,42,1.4271948202941929
1971,42,1.4269908312360984
1972,42,1.5524884470280051
1973,42,1.5030045649148729
1974,42,1.4088191376461037
1975,42,1.447504225838213
1976,42,1.4104659415842389
1977,42,1.3642734024001097
1978,42,1.4466736599411762
1979,42,1.3711809908415762
1980,42,1.3843487547517168
1981,42,1.350085044521138
1982,42,1.3945204724590528
1983,42,1.371663256933985
1984,42,1.4973871390452407
1985,42,1.4975499238418433
1986,42,1.468777492808364
1987,42,1.47952987186757
1988,42,1.4127784059950879
1989,42,1.4501897324473536
1990,42,1.5231740771423956
1991,42,1.5232057172634677
1992,42,1.445072739156935
1993,42,1.374814740281722
1994,42,1.4787545590503974
1995,42,1.4328361981131374
1996,42,1.5434091206004499
1997,42,1.585341917212227
1998,42,1.438292985431352
1999,42,1.4957680142056626
2000,42,1.624479464570079
2001,42,1.627025556545466
2002,42,1.6092530248480974
2003,42,1.6339040067361377
2004,42,1.5692519759498866
2005,42,1.7052548900570605
2006,42,1.6400802543870903
2007,42,1.700664904891166
2008,42,1.6666473710225966
2009,42,1.8452989108443962
2010,42,1.735566554414386
2011,42,1.651620687992351
2012,42,1.5810026502592047
2013,42,1.6868598402763104
2014,42,1.649609039072488
2015,42,1.5350058454199624
2016,42,1.7187932939244748
2017,42,1.8089842374470269
2018,42,1.571884690172375
2019,42,1.6281776904831988
2020,42,1.7694009498445136
2021,42,1.5982994366743843
2022,42,1.6287894792897164
2023,42,1.849437900036763
2024,42,1.6738367417079107
2025,42,1.5586752076881445
1968,44RT,1.4104371417978436
1969,44RT,1.402511068390105
1970,44RT,1.3791353581680295
1971,44RT,1.3820816538849885
1972,44RT,1.3569602264287706
1973,44RT,1.3013008440393987
1974,44RT,1.301611962767114
1975,44RT,1.2464352062490631
1976,44RT,1.3446757449660616
1977,44RT,1.279265925580753
1978,44RT,1.2495349254055614
1979,44RT,1.283345650293651
1980,44RT,1.2657949789595873
1981,44RT,1.2500322809236664
1982,44RT,1.240652478901825
1983,44RT,1.277776313958555
1984,44RT,1.3115960859181564
1985,44RT,1.323679348929922
1986,44RT,1.336832395554291
1987,44RT,1.3001924462638679
1988,44RT,1.3654329917345627
1989,44RT,1.389789967394659
1990,44RT,1.3934415687631803
1991,44RT,1.4030522658451754
1992,44RT,1.3948125535990492
1993,44RT,1.328680712034962
1994,44RT,1.33525320678811
1995,44RT,1.301835027280697
1996,44RT,1.3597787150229665
1997,44RT,1.396000019963926
1998,44RT,1.3753990636352924
1999,44RT,1.4209346054272685
2000,44RT,1.328840994830553
2001,44RT,1.511117189075488
2002,44RT,1.4213992380959164
2003,44RT,1.5533235105589729
2004,44RT,1.5107640502754351
2005,44RT,1.552051032258514
2006,44RT,1.5002519014611064
2007,44RT,1.4814276686843961
2008,44RT,1.4188949805394533
2009,44RT,1.4351738065937472
2010,44RT,1.4242099353064108
2011,44RT,1.4895753528339795
2012,44RT,1.476758193112248
2013,44RT,1.3727788122499276
2014,44RT,1.4743169465054662
2015,44RT,1.4723355416104886
2016,44RT,1.5177063927222316
2017,44RT,1.499215896587942
2018,44RT,1.4042042947881062
2019,44RT,1.5463541640424279
2020,44RT,1.5790398976603837
2021,44RT,1.4107158516431235
2022,44RT,1.5658131905366839
2023,44RT,1.532108495016468
2024,44RT,1.5040858448116181
2025,44RT,1.480948744063745
